Rk,Date,Tm,▾,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,2012-11-12,UTA,@,TOR,W 140-133
,315,46,93,.495,32,67,.478,14,26,.538,34,43,.791,140,51,108,.472,43,84,.512,8,24,.333,23,30,.767,133
2,2013-03-08,POR,@,SAS,W 136-106,240,53,86,.616,40,65,.615,13,21,.619,17,21,.810,136,44,84,.524,38,65,.585,6,19,.316,12,15,.800,106
3,2012-12-10,SAS,@,HOU,W 134-126,265,48,92,.522,34,62,.548,14,30,.467,24,26,.923,134,41,97,.423,25,67,.373,16,30,.533,28,36,.778,126
4,2012-12-08,SAS,@,CHA,W 132-102,240,50,90,.556,31,56,.554,19,34,.559,13,15,.867,132,37,79,.468,31,64,.484,6,15,.400,22,31,.710,102
5,2013-02-26,SAC,@,MIA,L 129-141,290,48,93,.516,34,66,.515,14,27,.519,19,26,.731,129,56,101,.554,46,78,.590,10,23,.435,19,24,.792,141
6,2013-01-12,MIA,@,SAC,W 128-99,240,45,80,.563,28,43,.651,17,37,.459,21,24,.875,128,38,87,.437,29,69,.420,9,18,.500,14,19,.737,99
7,2012-12-19,GSW,@,SAC,L 127-131,240,46,92,.500,33,66,.500,13,26,.500,22,25,.880,127,43,86,.500,32,67,.478,11,19,.579,34,42,.810,131
8,2013-03-18,DAL,@,ATL,W 127-113,240,51,89,.573,38,67,.567,13,22,.591,12,14,.857,127,42,75,.560,34,54,.630,8,21,.381,21,29,.724,113
9,2013-01-28,HOU,@,UTA,W 125-80,240,47,89,.528,31,55,.564,16,34,.471,15,18,.833,125,32,81,.395,27,63,.429,5,18,.278,11,19,.579,80
10,2013-02-14,LAC,@,LAL,W 125-101,240,46,89,.517,30,59,.508,16,30,.533,17,22,.773,125,38,75,.507,32,55,.582,6,20,.300,19,27,.704,101
11,2013-02-27,SAC,@,ORL,W 125-101,240,46,84,.548,36,62,.581,10,22,.455,23,29,.793,125,37,83,.446,31,64,.484,6,19,.316,21,25,.840,101
12,2013-04-07,NYK,@,OKC,W 125-120,240,46,93,.495,31,59,.525,15,34,.441,18,24,.750,125,45,78,.577,36,61,.590,9,17,.529,21,25,.840,120
13,2012-12-29,OKC,@,HOU,W 124-94,240,45,94,.479,32,65,.492,13,29,.448,21,23,.913,124,33,83,.398,25,53,.472,8,30,.267,20,27,.741,94
14,2013-04-10,ATL,@,PHI,W 124-101,240,49,91,.538,41,69,.594,8,22,.364,18,19,.947,124,37,88,.420,30,67,.448,7,21,.333,20,22,.909,101
15,2012-12-29,TOR,@,ORL,W 123-88,240,46,82,.561,31,55,.564,15,27,.556,16,21,.762,123,36,81,.444,31,63,.492,5,18,.278,11,22,.500,88
