Rk,Date,Tm,▾,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,2014-04-08,HOU,@,LAL,W 145-130,240,56,97,.577,45,71,.634,11,26,.423,22,28,.786,145,12,46,58,33,8,9,14,22,44,95,.463,30,63,.476,14,32,.438,28,35,.800,130,5,28,33,38,8,7,11,20
2,2014-03-06,LAC,@,LAL,W 142-94,240,57,103,.553,45,77,.584,12,26,.462,16,22,.727,142,16,48,64,34,16,5,17,21,34,86,.395,26,56,.464,8,30,.267,18,26,.692,94,4,29,33,26,9,2,22,16
3,2013-12-14,POR,@,PHI,W 139-105,240,52,93,.559,31,56,.554,21,37,.568,14,20,.700,139,15,31,46,41,9,8,18,16,39,87,.448,30,72,.417,9,15,.600,18,26,.692,105,9,24,33,26,9,5,14,15
4,2014-01-05,DEN,@,LAL,W 137-115,240,53,99,.535,41,70,.586,12,29,.414,19,24,.792,137,17,41,58,32,12,8,15,25,42,89,.472,39,68,.574,3,21,.143,28,36,.778,115,9,29,38,26,8,5,15,18
5,2014-04-16,UTA,@,MIN,W 136-130,290,53,108,.491,47,84,.560,6,24,.250,24,29,.828,136,22,38,60,30,10,9,18,34,40,97,.412,32,72,.444,8,25,.320,42,54,.778,130,13,32,45,24,12,5,15,24
6,2014-02-19,HOU,@,LAL,W 134-108,240,52,104,.500,34,69,.493,18,35,.514,12,25,.480,134,19,37,56,28,15,6,14,15,41,84,.488,27,57,.474,14,27,.519,12,15,.800,108,3,29,32,29,10,5,19,19
7,2014-02-27,WAS,@,TOR,W 134-129,315,51,108,.472,46,86,.535,5,22,.227,27,37,.730,134,18,39,57,22,10,7,14,32,45,100,.450,33,70,.471,12,30,.400,27,36,.750,129,11,39,50,29,10,5,17,35
8,2014-03-28,SAS,@,DEN,W 133-102,240,55,98,.561,42,74,.568,13,24,.542,10,14,.714,133,11,40,51,37,6,10,14,25,35,87,.402,29,64,.453,6,23,.261,26,35,.743,102,10,31,41,15,7,8,12,19
9,2014-03-03,MIN,@,DEN,W 132-128,240,38,80,.475,34,64,.531,4,16,.250,52,64,.813,132,14,36,50,21,10,0,17,22,50,95,.526,38,62,.613,12,33,.364,16,25,.640,128,9,32,41,23,9,5,18,37
10,2014-03-04,NOP,@,LAL,W 132-125,240,46,77,.597,39,60,.650,7,17,.412,33,40,.825,132,9,30,39,29,9,2,15,23,46,85,.541,36,63,.571,10,22,.455,23,31,.742,125,11,19,30,29,9,5,14,26
